timestamp,O,H,L,C,V,R,TR,LR,PTR,PLR,condition
2023-06-20,0.06234300136566162,0.06305699795484543,0.06091099977493286,0.06304500252008438,190107977,0.002145998179912567,1.1995434761047363e-05,0.0021340027451515198,0.5589676111251914,99.4410323888748,moon
2023-06-30,0.06340199708938599,0.06671199947595596,0.06264299899339676,0.06647899746894836,489091093,0.004069000482559204,0.00023300200700759888,0.0038359984755516052,5.726271304373301,94.2737286956267,moon
2023-08-01,0.07782399654388428,0.07816799730062485,0.07604300230741501,0.07804200053215027,369078156,0.002124994993209839,0.00012599676847457886,0.00199899822473526,5.929273663099729,94.07072633690026,moon
2023-08-25,0.06303899735212326,0.06309399753808975,0.06189800053834915,0.06308399885892868,202977283,0.0011959969997406006,9.998679161071777e-06,0.0011859983205795288,0.8360120605018564,99.16398793949814,moon
2023-08-28,0.06317400187253952,0.06354700028896332,0.06221099942922592,0.06343799829483032,169636026,0.0013360008597373962,0.0001090019941329956,0.0012269988656044006,8.158826645846693,91.8411733541533,moon
2023-10-04,0.061388999223709106,0.06156099960207939,0.060458000749349594,0.06148799881339073,141610437,0.0011029988527297974,7.300078868865967e-05,0.0010299980640411377,6.618392077923832,93.38160792207617,moon
2023-10-14,0.058400001376867294,0.05993000045418739,0.058400001376867294,0.05985900014638901,112567930,0.0015299990773200989,7.100030779838562e-05,0.0014589987695217133,4.6405457918803235,95.35945420811967,moon
2023-10-19,0.058667998760938644,0.058883000165224075,0.05801299959421158,0.058883000165224075,119806282,0.000870000571012497,0.0,0.000870000571012497,0.0,100.0,moon
2023-10-21,0.05996499955654144,0.06136300042271614,0.059571001678705215,0.061188001185655594,149488431,0.0017919987440109253,0.00017499923706054688,0.0016169995069503784,9.76558926982596,90.23441073017405,moon
2023-10-22,0.06118899956345558,0.06166699901223183,0.06056300178170204,0.06159599870443344,152154020,0.0011039972305297852,7.100030779838562e-05,0.0010329969227313995,6.431203433754454,93.56879656624555,moon
2023-10-23,0.061827998608350754,0.06723800301551819,0.06176900118589401,0.06708499789237976,618990461,0.005469001829624176,0.00015300512313842773,0.005315996706485748,2.7976791360653483,97.20232086393466,moon
2023-11-03,0.06793099641799927,0.0682080015540123,0.06663999706506729,0.06814400106668472,282752934,0.0015680044889450073,6.400048732757568e-05,0.0015040040016174316,4.081652047478309,95.91834795252169,moon
2023-11-06,0.07122399657964706,0.076385997235775,0.07062099874019623,0.07638099789619446,707371164,0.005764998495578766,4.999339580535889e-06,0.00575999915599823,0.08671883582224578,99.91328116417776,moon
2023-11-10,0.07346499711275101,0.0754539966583252,0.0731550008058548,0.07544399797916412,649733691,0.002298995852470398,9.998679161071777e-06,0.002288997173309326,0.43491505869084734,99.56508494130915,moon
2023-11-15,0.0724560022354126,0.07640799880027771,0.07241900265216827,0.07635600119829178,503454120,0.003988996148109436,5.1997601985931396e-05,0.003936998546123505,1.3035260014120442,98.69647399858795,moon
2023-11-17,0.07932599633932114,0.08706100285053253,0.07932300120592117,0.08630400151014328,2031597493,0.007738001644611359,0.0007570013403892517,0.006981000304222107,9.782904878502027,90.21709512149798,moon
2023-11-19,0.08039499819278717,0.08059799671173096,0.07798399776220322,0.08057600259780884,620299419,0.0026139989495277405,2.199411392211914e-05,0.0025920048356056213,0.8413971981929342,99.15860280180706,moon
2023-11-24,0.0761990025639534,0.07842899858951569,0.07614900171756744,0.07821699976921082,401116993,0.002279996871948242,0.0002119988203048706,0.0020679980516433716,9.298206629718706,90.7017933702813,moon
2023-11-28,0.07879199832677841,0.08103100210428238,0.07703699916601181,0.08100900053977966,618900678,0.003994002938270569,2.2001564502716064e-05,0.003972001373767853,0.5508650054284361,99.44913499457157,moon
2023-12-02,0.083856001496315,0.0864809975028038,0.08354800194501877,0.08627899736166,462433973,0.002932995557785034,0.00020200014114379883,0.0027309954166412354,6.8871615099324295,93.11283849006757,moon
2023-12-04,0.08561699837446213,0.09195400029420853,0.08543100208044052,0.0919400006532669,1364950607,0.006522998213768005,1.3999640941619873e-05,0.0065089985728263855,0.2146197267396305,99.78538027326037,moon
2023-12-16,0.0930040031671524,0.09707599878311157,0.09228499978780746,0.09705600142478943,498585277,0.004790998995304108,1.9997358322143555e-05,0.004771001636981964,0.4173943334520409,99.58260566654796,moon
2023-12-22,0.09500700235366821,0.09549400210380554,0.09233099967241287,0.09519799798727036,622353150,0.0031630024313926697,0.00029600411653518677,0.002866998314857483,9.358327189298308,90.64167281070169,moon
2023-12-27,0.09135399758815765,0.09386400133371353,0.0899209976196289,0.09357900172472,423259088,0.003943003714084625,0.0002849996089935303,0.003658004105091095,7.227982260719057,92.77201773928094,moon
2024-01-01,0.08947300165891647,0.09204600006341934,0.08883800357580185,0.09202399849891663,298687049,0.0032079964876174927,2.2001564502716064e-05,0.0031859949231147766,0.6858350558561906,99.31416494414381,moon
2024-01-08,0.07822799682617188,0.08171699941158295,0.074972003698349,0.08137000352144241,603250657,0.006744995713233948,0.00034699589014053345,0.006397999823093414,5.144493857271307,94.8555061427287,moon
2024-01-19,0.07798799872398376,0.07870499789714813,0.07515200227499008,0.07853599637746811,351038255,0.0035529956221580505,0.0001690015196800232,0.0033839941024780273,4.756592398427261,95.24340760157274,moon
2024-02-07,0.07846999913454056,0.08025500178337097,0.07821100205183029,0.08010400086641312,213373948,0.00204399973154068,0.00015100091695785522,0.0018929988145828247,7.387521369390648,92.61247863060935,moon
