year_month,d_profit,d_roi,m_profit,m_roi,t_dc,d_roi_avg,m_roi_avg
2023-06,0.00418100506067276,6.346200367553897,0.00418100506067276,6.346200367553897,2,3.1731001837769486,3.1731001837769486
2023-07,0.0039689987897872925,5.783544263728453,0.03210200369358063,47.987670782965914,2,2.8917721318642267,23.993835391482957
2023-08,0.0032009929418563843,4.4787995547783925,0.007141999900341034,9.787579942091762,4,1.1196998886945981,2.4468949855229405
2023-09,0.0009400025010108948,1.5396915581200603,0.0029229968786239624,4.793300785729694,2,0.7698457790600302,2.396650392864847
2023-10,0.0018099993467330933,2.666429878977051,0.0028409957885742188,4.185259000438379,1,2.666429878977051,4.185259000438379
2023-11,0.0054759979248046875,7.478363122044281,0.022269994020462036,29.682976580621407,3,2.4927877073480937,9.894325526873802
2023-12,0.011794991791248322,12.36943160687322,0.0269630029797554,28.314664175875407,4,3.092357901718305,7.078666043968852
2024-01,0.006250008940696716,7.7158116155994225,0.021149009466171265,26.169865502533682,5,1.5431623231198845,5.233973100506736
2024-02,0.004598990082740784,5.7954959036390195,0.16514497995376587,208.23053244228407,3,1.9318319678796732,69.41017748076136
2024-03,0.02449899911880493,12.28426419454162,0.02449899911880493,12.28426419454162,1,12.28426419454162,12.28426419454162
2024-04,0.006349995732307434,3.6497404115095144,0.027637004852294922,15.326395732398948,2,1.8248702057547572,7.663197866199474
2024-05,0.01673901081085205,10.773703572528301,0.08771499991416931,59.09684761026639,4,2.6934258931320754,14.774211902566597
2024-06,0.0013319998979568481,1.0847876160745746,0.002543993294239044,2.071841315603975,1,1.0847876160745746,2.071841315603975
2024-07,0.012696988880634308,11.720787933387825,0.13647699356079102,126.30662999783503,6,1.9534646555646376,21.051104999639172
2024-08,0.009603999555110931,9.556341551843454,0.02974000573158264,29.631553519756068,2,4.778170775921727,14.815776759878034
2024-09,0.007777005434036255,7.25414935844308,0.06424301862716675,64.61233379486373,4,1.81353733961077,16.153083448715932
2024-10,0.0010490044951438904,0.9654452276546521,0.07057199627161026,64.95052911774441,1,0.9654452276546521,64.95052911774441
2024-11,0.032409995794296265,8.946125860302777,0.22952598333358765,63.285331430245435,2,4.4730629301513884,31.642665715122718
2024-12,0.023819029331207275,7.278228181325172,0.026894032955169678,8.266860917007437,2,3.639114090662586,4.133430458503718
2025-01,0.03430497646331787,9.646194526677872,0.13183897733688354,37.56511008465198,3,3.2153981755592906,12.521703361550658
2025-02,0.0035619884729385376,1.6932902097718816,0.0035619884729385376,1.6932902097718816,1,1.6932902097718816,1.6932902097718816
2025-03,0.02856197953224182,17.641137221416287,0.10210196673870087,62.57644020464271,3,5.880379073805429,20.858813401547568
2025-04,0.027932018041610718,19.288216483515455,0.12317100167274475,82.16478416786259,3,6.4294054945051515,27.388261389287532
2025-05,0.014423996210098267,7.335731852999708,0.18174497783184052,103.79374685819982,5,1.4671463705999417,20.758749371639965
2025-06,0.007337003946304321,4.050577246482344,0.01929299533367157,10.402173914833583,3,1.3501924154941147,3.4673913049445275
2025-07,0.02407298982143402,13.548019420660966,0.13622801005840302,84.98462294336983,3,4.516006473553655,28.32820764778994
2025-08,0.0717109888792038,33.43877997913541,0.11349000036716461,52.94738444369223,5,6.687755995827082,10.589476888738446
2025-09,0.015222012996673584,6.505331198052065,0.02115797996520996,9.1317920568229,3,2.168443732684022,3.043930685607633
2025-10,0.030867978930473328,14.260240011125987,0.04185198247432709,19.85300294765758,4,3.5650600027814967,4.963250736914395
2025-11,0.01690000295639038,10.644061273841265,0.01690000295639038,10.644061273841265,2,5.3220306369206325,5.3220306369206325
