dataset,n_samples,mutual_info_score,adjusted_mutual_info,normalized_mutual_info,rand_score,adjusted_rand_score,fowlkes_mallows,homogeneity,v_measure,avg_score
Complete,909,0.6443275689095118,0.929629937747531,0.9296858801849964,0.9803724865878658,0.9607449407362645,0.9803543166283093,0.9295689998924287,0.9296858801849965,0.9105462513589881
Crash,86,0.5340756124079677,0.7709621534847806,0.7729240460090276,0.9102599179206566,0.8205134808024103,0.9096009073646739,0.7705082374807116,0.7729240460090276,0.7827210501849071
Moon,100,0.5255973270178648,0.7592561769713603,0.7610260716417302,0.9040404040404041,0.8080808080808081,0.9035649407452061,0.7582766571931677,0.7610260716417302,0.7726085571665339
