dc_date,year_month,dc_price,ptr,d_max_price,d_max_date,d_profit,d_roi,m_max_price,m_max_date,m_profit,m_roi
2023-06-04,2023-06,0.0724710002541542,99.362330960685,0.07263199985027313,2023-06-05,0.000160999596118927,0.22215727056933804,0.07263199985027313,2023-06-05,0.000160999596118927,0.22215727056933804
2023-06-22,2023-06,0.06564299762248993,97.30908448077749,0.06966300308704376,2023-06-23,0.004020005464553833,6.124043096984559,0.06966300308704376,2023-06-23,0.004020005464553833,6.124043096984559
2023-07-06,2023-07,0.06502600014209747,99.39489557172601,0.06579700112342834,2023-07-07,0.0007710009813308716,1.1856810808692657,0.08334100246429443,2023-07-25,0.01831500232219696,28.16566032383088
2023-07-16,2023-07,0.06955400109291077,94.33473122378956,0.07275199890136719,2023-07-17,0.003197997808456421,4.597863182859188,0.08334100246429443,2023-07-25,0.013787001371383667,19.822010459135033
2023-08-02,2023-08,0.07421299815177917,97.24064400741602,0.07489299774169922,2023-08-03,0.0006799995899200439,0.916280984268174,0.07715000212192535,2023-08-12,0.002937003970146179,3.9575331051030553
2023-08-06,2023-08,0.07426600158214569,96.84490569263205,0.07546599954366684,2023-08-07,0.0011999979615211487,1.6158106481521426,0.07715000212192535,2023-08-12,0.002884000539779663,3.8833389146306305
2023-08-15,2023-08,0.07086300104856491,91.83141621614124,0.07111600041389465,2023-08-16,0.00025299936532974243,0.3570260383925217,0.07111600041389465,2023-08-16,0.00025299936532974243,0.3570260383925217
2023-08-16,2023-08,0.0671830028295517,91.27405142959898,0.06825099885463715,2023-08-17,0.0010679960250854492,1.5896818839655547,0.06825099885463715,2023-08-17,0.0010679960250854492,1.5896818839655547
2023-09-21,2023-09,0.06134599819779396,96.8396672443164,0.06182900071144104,2023-09-22,0.00048300251364707947,0.7873415183330549,0.06250599771738052,2023-09-30,0.0011599995195865631,1.8909131054424304
2023-09-24,2023-09,0.060743000358343124,96.06142262588526,0.06120000034570694,2023-09-25,0.0004569999873638153,0.7523500397870053,0.06250599771738052,2023-09-30,0.0017629973590373993,2.902387680287264
2023-10-27,2023-10,0.06788100302219391,94.35783440553126,0.069691002368927,2023-10-28,0.0018099993467330933,2.666429878977051,0.07072199881076813,2023-10-31,0.0028409957885742188,4.185259000438379
2023-11-18,2023-11,0.08038300275802612,91.56126331940817,0.08059799671173096,2023-11-19,0.00021499395370483398,0.26746195878253276,0.08421699702739716,2023-11-30,0.0038339942693710327,4.769657934914871
2023-11-20,2023-11,0.07787899672985077,98.50864737580146,0.07869800180196762,2023-11-21,0.0008190050721168518,1.0516379338550592,0.08421699702739716,2023-11-30,0.006338000297546387,8.138266495049816
2023-11-21,2023-11,0.07211899757385254,91.2989713319127,0.07656099647283554,2023-11-22,0.004441998898983002,6.159263229406689,0.08421699702739716,2023-11-30,0.012097999453544617,16.77505215065672
2023-12-06,2023-12,0.09486400336027145,90.65015242441092,0.09793899953365326,2023-12-07,0.0030749961733818054,3.2414783948171406,0.10583700239658356,2023-12-11,0.010972999036312103,11.567084086298996
2023-12-09,2023-12,0.0985419973731041,92.37908398953701,0.10263600200414658,2023-12-10,0.0040940046310424805,4.154578494630647,0.10583700239658356,2023-12-11,0.007295005023479462,7.402940084377212
2023-12-15,2023-12,0.0930040031671524,99.45012613665047,0.09707599878311157,2023-12-16,0.0040719956159591675,4.3783014464879875,0.09758500009775162,2023-12-17,0.004580996930599213,4.9255911300570245
2023-12-17,2023-12,0.09309700131416321,93.30562728183807,0.09365099668502808,2023-12-18,0.0005539953708648682,0.595073270937446,0.09721100330352783,2023-12-21,0.004114001989364624,4.419048875142174
2024-01-03,2024-01,0.08204200118780136,90.75394510854977,0.08465500175952911,2024-01-04,0.0026130005717277527,3.1849546986870347,0.08999799937009811,2024-01-20,0.007955998182296753,9.697469670546885
2024-01-14,2024-01,0.07997799664735794,96.80354507385883,0.08163700252771378,2024-01-15,0.001659005880355835,2.074327877542104,0.08999799937009811,2024-01-20,0.010020002722740173,12.528449252012095
2024-01-21,2024-01,0.08527299761772156,91.64895302617471,0.08541599661111832,2024-01-22,0.00014299899339675903,0.1676955160387616,0.08541599661111832,2024-01-22,0.00014299899339675903,0.1676955160387616
2024-01-22,2024-01,0.08034099638462067,97.20371031038172,0.08167699724435806,2024-01-23,0.0013360008597373962,1.6629129832314866,0.08287200331687927,2024-01-29,0.002531006932258606,3.150330523835905
2024-01-30,2024-01,0.07972300052642822,94.87390415305427,0.0802220031619072,2024-01-31,0.0004990026354789734,0.6259205401000352,0.0802220031619072,2024-01-31,0.0004990026354789734,0.6259205401000352
2024-02-03,2024-02,0.07865100353956223,95.82804216359261,0.0798569992184639,2024-02-04,0.0012059956789016724,1.533350656225314,0.13440899550914764,2024-02-29,0.05575799196958542,70.89291866636972
